id,timestamp,test,file_size,download_mbps,upload_mbps,latency_ms,loaded_latency_ms,jitter_ms,server,status,error_msg
177,2026-06-09T00:26:54.550652+00:00,cdn_ovh,large,309.51,,,,,OVH,ok,
178,2026-06-09T00:26:54.563433+00:00,cdn_vultr,small,401.02,,,,,Vultr,ok,
179,2026-06-09T00:26:54.575999+00:00,cdn_vultr,medium,395.07,,,,,Vultr,ok,
180,2026-06-09T00:26:54.588577+00:00,cdn_vultr,large,402.97,,,,,Vultr,ok,
181,2026-06-09T00:57:51.330281+00:00,cloudflare_full,small,76.25,59.23,79.98,,2.72,Cloudflare,ok,
182,2026-06-09T00:57:51.356019+00:00,cloudflare_full,medium,297.92,94.9,79.98,82.13,2.72,Cloudflare,ok,
183,2026-06-09T00:57:51.368014+00:00,cloudflare_full,large,356.41,97.75,79.98,,2.72,Cloudflare,ok,
184,2026-06-09T00:57:51.380430+00:00,cdn_hetzner,small,379.87,,,,,Hetzner,ok,
185,2026-06-09T00:57:51.395268+00:00,cdn_hetzner,medium,386.16,,,,,Hetzner,ok,
186,2026-06-09T00:57:51.407380+00:00,cdn_hetzner,large,373.19,,,,,Hetzner,ok,
187,2026-06-09T00:57:51.418787+00:00,cdn_ovh,small,62.61,,,,,OVH,ok,
188,2026-06-09T00:57:51.430855+00:00,cdn_ovh,medium,285.38,,,,,OVH,ok,
189,2026-06-09T00:57:51.443509+00:00,cdn_ovh,large,334.3,,,,,OVH,ok,
190,2026-06-09T00:57:51.455255+00:00,cdn_vultr,small,348.62,,,,,Vultr,ok,
191,2026-06-09T00:57:51.467903+00:00,cdn_vultr,medium,402.38,,,,,Vultr,ok,
192,2026-06-09T00:57:51.480277+00:00,cdn_vultr,large,397.86,,,,,Vultr,ok,
193,2026-06-09T01:28:00.776836+00:00,cloudflare_full,small,78.33,59.57,80.13,,5.35,Cloudflare,ok,
194,2026-06-09T01:28:00.790142+00:00,cloudflare_full,medium,282.47,96.99,80.13,81.95,5.35,Cloudflare,ok,
195,2026-06-09T01:28:00.803014+00:00,cloudflare_full,large,359.06,101.66,80.13,,5.35,Cloudflare,ok,
196,2026-06-09T01:28:00.815089+00:00,cdn_hetzner,small,378.07,,,,,Hetzner,ok,
197,2026-06-09T01:28:00.828066+00:00,cdn_hetzner,medium,387.07,,,,,Hetzner,ok,
198,2026-06-09T01:28:00.840483+00:00,cdn_hetzner,large,385.36,,,,,Hetzner,ok,
199,2026-06-09T01:28:00.853706+00:00,cdn_ovh,small,63.81,,,,,OVH,ok,
200,2026-06-09T01:28:00.866162+00:00,cdn_ovh,medium,281.89,,,,,OVH,ok,
201,2026-06-09T01:28:00.878712+00:00,cdn_ovh,large,389.02,,,,,OVH,ok,
202,2026-06-09T01:28:00.891513+00:00,cdn_vultr,small,395.27,,,,,Vultr,ok,
203,2026-06-09T01:28:00.904505+00:00,cdn_vultr,medium,361.37,,,,,Vultr,ok,
204,2026-06-09T01:28:00.928884+00:00,cdn_vultr,large,403.28,,,,,Vultr,ok,
205,2026-06-09T01:58:20.972992+00:00,cloudflare_full,small,72.26,52.32,78.62,,3.17,Cloudflare,ok,
206,2026-06-09T01:58:20.986431+00:00,cloudflare_full,medium,293.69,97.3,78.62,82.14,3.17,Cloudflare,ok,
207,2026-06-09T01:58:20.998705+00:00,cloudflare_full,large,360.51,98.62,78.62,,3.17,Cloudflare,ok,
208,2026-06-09T01:58:21.011235+00:00,cdn_hetzner,small,376.95,,,,,Hetzner,ok,
209,2026-06-09T01:58:21.026826+00:00,cdn_hetzner,medium,386.66,,,,,Hetzner,ok,
210,2026-06-09T01:58:21.038949+00:00,cdn_hetzner,large,386.12,,,,,Hetzner,ok,
211,2026-06-09T01:58:21.051735+00:00,cdn_ovh,small,60,,,,,OVH,ok,
212,2026-06-09T01:58:21.063757+00:00,cdn_ovh,medium,278.79,,,,,OVH,ok,
213,2026-06-09T01:58:21.075835+00:00,cdn_ovh,large,364.31,,,,,OVH,ok,
214,2026-06-09T01:58:21.087887+00:00,cdn_vultr,small,396.39,,,,,Vultr,ok,
215,2026-06-09T01:58:21.099663+00:00,cdn_vultr,medium,402.06,,,,,Vultr,ok,
216,2026-06-09T01:58:21.111776+00:00,cdn_vultr,large,396.79,,,,,Vultr,ok,
217,2026-06-09T02:28:50.730408+00:00,cloudflare_full,small,71.45,59.87,82.78,,3.27,Cloudflare,ok,
218,2026-06-09T02:28:50.743937+00:00,cloudflare_full,medium,294.49,97.4,82.78,83.62,3.27,Cloudflare,ok,
219,2026-06-09T02:28:50.756461+00:00,cloudflare_full,large,282.18,101.59,82.78,,3.27,Cloudflare,ok,
220,2026-06-09T02:28:50.769240+00:00,cdn_hetzner,small,380.06,,,,,Hetzner,ok,
221,2026-06-09T02:28:50.781736+00:00,cdn_hetzner,medium,377.94,,,,,Hetzner,ok,
222,2026-06-09T02:28:50.806496+00:00,cdn_hetzner,large,387.41,,,,,Hetzner,ok,
223,2026-06-09T02:28:50.818448+00:00,cdn_ovh,small,60.44,,,,,OVH,ok,
224,2026-06-09T02:28:50.830659+00:00,cdn_ovh,medium,282.35,,,,,OVH,ok,
225,2026-06-09T02:28:50.842619+00:00,cdn_ovh,large,385.91,,,,,OVH,ok,
226,2026-06-09T02:28:50.854517+00:00,cdn_vultr,small,401.68,,,,,Vultr,ok,
227,2026-06-09T02:28:50.866475+00:00,cdn_vultr,medium,403.98,,,,,Vultr,ok,
228,2026-06-09T02:28:50.881694+00:00,cdn_vultr,large,402.64,,,,,Vultr,ok,
229,2026-06-09T02:59:50.523841+00:00,cloudflare_full,small,70,57.42,78.52,,3.89,Cloudflare,ok,
230,2026-06-09T02:59:50.536953+00:00,cloudflare_full,medium,282.73,97.15,78.52,82.44,3.89,Cloudflare,ok,
231,2026-06-09T02:59:50.551818+00:00,cloudflare_full,large,341.22,102.02,78.52,,3.89,Cloudflare,ok,
232,2026-06-09T02:59:50.564148+00:00,cdn_hetzner,small,377.99,,,,,Hetzner,ok,
233,2026-06-09T02:59:50.576389+00:00,cdn_hetzner,medium,386.35,,,,,Hetzner,ok,
234,2026-06-09T02:59:50.588872+00:00,cdn_hetzner,large,386.21,,,,,Hetzner,ok,
235,2026-06-09T02:59:50.601079+00:00,cdn_ovh,small,62.65,,,,,OVH,ok,
236,2026-06-09T02:59:50.613359+00:00,cdn_ovh,medium,283.29,,,,,OVH,ok,
237,2026-06-09T02:59:50.625737+00:00,cdn_ovh,large,406.68,,,,,OVH,ok,
238,2026-06-09T02:59:50.638401+00:00,cdn_vultr,small,402.52,,,,,Vultr,ok,
239,2026-06-09T02:59:50.650840+00:00,cdn_vultr,medium,404,,,,,Vultr,ok,
240,2026-06-09T02:59:50.663276+00:00,cdn_vultr,large,403.11,,,,,Vultr,ok,
241,2026-06-09T03:30:38.540290+00:00,cloudflare_full,small,79.63,59.8,82.14,,4.87,Cloudflare,ok,
242,2026-06-09T03:30:38.564821+00:00,cloudflare_full,medium,283.17,93.88,82.14,77.82,4.87,Cloudflare,ok,
243,2026-06-09T03:30:38.576893+00:00,cloudflare_full,large,352.82,99.36,82.14,,4.87,Cloudflare,ok,
244,2026-06-09T03:30:38.589125+00:00,cdn_hetzner,small,378.48,,,,,Hetzner,ok,
245,2026-06-09T03:30:38.601032+00:00,cdn_hetzner,medium,386.87,,,,,Hetzner,ok,
246,2026-06-09T03:30:38.612842+00:00,cdn_hetzner,large,386.46,,,,,Hetzner,ok,
247,2026-06-09T03:30:38.624805+00:00,cdn_ovh,small,60.04,,,,,OVH,ok,
248,2026-06-09T03:30:38.637156+00:00,cdn_ovh,medium,282.16,,,,,OVH,ok,
249,2026-06-09T03:30:38.649225+00:00,cdn_ovh,large,321.99,,,,,OVH,ok,
250,2026-06-09T03:30:38.661233+00:00,cdn_vultr,small,402.4,,,,,Vultr,ok,
251,2026-06-09T03:30:38.673374+00:00,cdn_vultr,medium,403.52,,,,,Vultr,ok,
252,2026-06-09T03:30:38.685769+00:00,cdn_vultr,large,393.69,,,,,Vultr,ok,
253,2026-06-09T04:01:30.446874+00:00,cloudflare_full,small,74.88,60.62,76.09,,2.72,Cloudflare,ok,
254,2026-06-09T04:01:30.460424+00:00,cloudflare_full,medium,248.11,94.27,76.09,79.44,2.72,Cloudflare,ok,
255,2026-06-09T04:01:30.472343+00:00,cloudflare_full,large,365.86,98.88,76.09,,2.72,Cloudflare,ok,
256,2026-06-09T04:01:30.485130+00:00,cdn_hetzner,small,374.71,,,,,Hetzner,ok,
257,2026-06-09T04:01:30.497348+00:00,cdn_hetzner,medium,384.64,,,,,Hetzner,ok,
258,2026-06-09T04:01:30.510004+00:00,cdn_hetzner,large,386.91,,,,,Hetzner,ok,
259,2026-06-09T04:01:30.521886+00:00,cdn_ovh,small,61.99,,,,,OVH,ok,
260,2026-06-09T04:01:30.534760+00:00,cdn_ovh,medium,275.43,,,,,OVH,ok,
261,2026-06-09T04:01:30.547195+00:00,cdn_ovh,large,406.67,,,,,OVH,ok,
262,2026-06-09T04:01:30.561074+00:00,cdn_vultr,small,403.06,,,,,Vultr,ok,
263,2026-06-09T04:01:30.573035+00:00,cdn_vultr,medium,403.74,,,,,Vultr,ok,
264,2026-06-09T04:01:30.585640+00:00,cdn_vultr,large,403.6,,,,,Vultr,ok,
265,2026-06-09T04:32:23.159579+00:00,cloudflare_full,small,72.18,55.89,81.03,,5.61,Cloudflare,ok,
266,2026-06-09T04:32:23.172903+00:00,cloudflare_full,medium,273.52,93.36,81.03,85.12,5.61,Cloudflare,ok,
267,2026-06-09T04:32:23.184992+00:00,cloudflare_full,large,355.93,100.13,81.03,,5.61,Cloudflare,ok,
268,2026-06-09T04:32:23.196937+00:00,cdn_hetzner,small,381.65,,,,,Hetzner,ok,
269,2026-06-09T04:32:23.208988+00:00,cdn_hetzner,medium,379.94,,,,,Hetzner,ok,
270,2026-06-09T04:32:23.221245+00:00,cdn_hetzner,large,351.51,,,,,Hetzner,ok,
271,2026-06-09T04:32:23.233230+00:00,cdn_ovh,small,60.61,,,,,OVH,ok,
272,2026-06-09T04:32:23.245281+00:00,cdn_ovh,medium,283.42,,,,,OVH,ok,
273,2026-06-09T04:32:23.257469+00:00,cdn_ovh,large,191.9,,,,,OVH,ok,
274,2026-06-09T04:32:23.269905+00:00,cdn_vultr,small,403.33,,,,,Vultr,ok,
275,2026-06-09T04:32:23.282083+00:00,cdn_vultr,medium,401.76,,,,,Vultr,ok,
276,2026-06-09T04:32:23.294212+00:00,cdn_vultr,large,403.06,,,,,Vultr,ok,
277,2026-06-09T05:03:01.234664+00:00,cloudflare_full,small,78.72,57.49,85.48,,6.07,Cloudflare,ok,
278,2026-06-09T05:03:01.248349+00:00,cloudflare_full,medium,288.06,94.05,85.48,76.75,6.07,Cloudflare,ok,
279,2026-06-09T05:03:01.260613+00:00,cloudflare_full,large,351.7,102.79,85.48,,6.07,Cloudflare,ok,
280,2026-06-09T05:03:01.273091+00:00,cdn_hetzner,small,378.05,,,,,Hetzner,ok,
281,2026-06-09T05:03:01.284940+00:00,cdn_hetzner,medium,385.92,,,,,Hetzner,ok,
282,2026-06-09T05:03:01.297443+00:00,cdn_hetzner,large,382.23,,,,,Hetzner,ok,
283,2026-06-09T05:03:01.309652+00:00,cdn_ovh,small,61.84,,,,,OVH,ok,
284,2026-06-09T05:03:01.322202+00:00,cdn_ovh,medium,286,,,,,OVH,ok,
285,2026-06-09T05:03:01.334175+00:00,cdn_ovh,large,295.37,,,,,OVH,ok,
286,2026-06-09T05:03:01.346806+00:00,cdn_vultr,small,395.41,,,,,Vultr,ok,
